City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,byron bay,-28.65,153.6167,23.73,61,41,7.46,AU,1681441167
317,rio brilhante,-21.8019,-54.5464,20.99,97,100,2.33,BR,1681440908
318,basco,20.4487,121.9702,26.18,87,98,5.32,PH,1681441167
319,tual,-5.6667,132.75,28.63,71,19,2.25,ID,1681441167
320,victoria,22.2855,114.1577,27.46,82,100,4.02,HK,1681440939
321,luanda,-8.8368,13.2343,26.0,89,40,1.03,AO,1681440626
322,vanimo,-2.6741,141.3028,30.07,69,34,4.48,PG,1681441168
323,abnub,27.2696,31.1511,15.12,25,84,1.69,EG,1681441168
324,wentzville,38.8114,-90.8529,21.14,43,96,2.92,US,1681441168
325,anadyr,64.75,177.4833,-18.72,84,0,5.0,RU,1681441169
326,kavaratti,10.5669,72.642,28.38,72,89,1.48,IN,1681440942
327,severomuysk,56.1481,113.4267,-9.95,64,10,1.32,RU,1681441143
328,vangaindrano,-23.35,47.6,21.33,92,3,1.18,MG,1681441169
329,san vicente,-26.6167,-54.1333,17.07,100,100,1.39,AR,1681441169
330,sapernoye,60.7167,29.9505,-0.19,86,100,4.87,RU,1681441169
331,klyuchi,52.2667,79.1667,11.66,41,100,5.31,RU,1681441170
332,eureka,40.8021,-124.1637,9.4,74,26,3.58,US,1681441170
333,ciudad bolivar,8.1222,-63.5497,27.4,55,100,5.29,VE,1681440980
334,celestun,20.8667,-90.4,24.52,69,96,6.46,MX,1681441171
335,luwuk,-0.9516,122.7875,26.04,85,100,1.2,ID,1681441171
336,ayan,56.45,138.1667,0.36,52,100,4.76,RU,1681441171
337,latung,5.5,120.8833,28.0,70,30,0.39,PH,1681441172
338,juegang,32.3174,121.1855,22.21,84,100,2.69,CN,1681441172
339,azul,-36.777,-59.8585,7.37,63,99,2.83,AR,1681441172
340,chany,55.3121,76.7647,-5.61,84,100,7.12,RU,1681441172
341,kuldiga,56.974,21.9572,9.83,86,100,4.03,LV,1681441173
342,esso,55.9333,158.7,-1.16,92,100,2.61,RU,1681441173
343,beyneu,45.3167,55.2,14.15,74,85,8.04,KZ,1681441173
344,cartagena del chaira,1.3349,-74.8429,25.01,85,100,0.56,CO,1681441173
345,pudozh,61.8099,36.5345,-8.68,91,6,3.29,RU,1681441174
346,vardo,70.3705,31.1107,-2.01,69,56,4.12,NO,1681441142
347,arvika,59.6553,12.5852,3.34,94,100,3.2,SE,1681441174
348,pedasi,7.5333,-80.0333,25.59,81,36,8.27,PA,1681441174
349,copiapo,-27.3667,-70.3333,13.83,66,0,0.21,CL,1681441167
350,silvan,38.1419,41.0081,5.16,93,83,1.27,TR,1681441174
351,millerovo,48.9226,40.3967,8.25,94,100,5.55,RU,1681441175
352,yatou,37.15,122.3833,14.17,87,100,5.11,CN,1681441175
353,anjiang,27.3194,110.1031,21.82,95,100,1.0,CN,1681441175
354,quang ngai,15.1167,108.8,32.05,62,38,3.17,VN,1681441175
355,la romana,18.4273,-68.9728,24.2,88,20,2.06,DO,1681440831
356,thinadhoo,0.5333,72.9333,28.4,72,72,2.71,MV,1681441175
357,tautira,-17.7333,-149.15,26.72,66,38,4.53,PF,1681441175
358,bajram curri,42.3554,20.0784,11.24,84,87,2.77,AL,1681441175
359,dzhebariki-khaya,62.2167,135.8,-1.45,87,100,1.33,RU,1681441176
360,duayaw nkwanta,7.1724,-2.1028,22.26,94,95,0.64,GH,1681441176
361,mandiana,10.6333,-8.6833,28.0,21,14,2.0,GN,1681441176
362,cabo san lucas,22.8909,-109.9124,26.61,67,96,2.68,MX,1681440708
363,hami,42.8,93.45,13.92,30,26,1.31,CN,1681441176
364,teknaf,20.8624,92.3058,31.23,41,27,1.5,BD,1681441176
365,kalmunai,7.4167,81.8167,28.64,75,10,0.52,LK,1681440982
